sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2013-05-28;283,900;284,000;283,100;286,800;283,100;284,000;285,419;16218;4628926,1;110;
2013-05-27;282,200;283,000;279,000;283,000;277,500;283,000;279,508;12363;3455560,4;95;
2013-05-24;278,200;278,500;284,000;284,200;276,400;278,500;280,059;23245;6509966;165;
2013-05-23;283,000;283,400;289,100;289,900;280,000;283,000;282,242;27324;7711978,5;192;
2013-05-22;291,100;291,200;290,000;292,800;289,200;290,800;290,685;16690;4851533,1;96;
2013-05-21;290,300;290,500;289,300;290,700;285,500;290,300;287,882;30180;8688289,5;155;
2013-05-20;288,900;289,900;289,900;291,900;286,700;289,900;289,199;12202;3528811,4;114;
2013-05-17;287,700;290,000;285,300;290,000;285,000;290,000;287,557;11114;3195905,2;88;
2013-05-16;284,600;285,500;285,200;287,800;284,500;285,500;286,013;16870;4825030,8;100;
2013-05-15;284,300;285,200;280,100;286,300;280,100;285,200;284,458;15375;4373546,7;100;
2013-05-14;280,100;280,900;283,400;284,200;280,000;280,100;281,201;9584;2695034,2;77;
2013-05-13;282,400;283,400;285,800;285,800;282,300;283,400;283,500;10546;2989785,3;86;
2013-05-10;284,000;284,900;285,000;289,100;283,500;284,900;286,673;13799;3955806,7;121;
2013-05-08;284,800;286,800;286,000;287,000;284,900;284,900;286,176;8971;2567288,6;55;
2013-05-07;284,600;285,700;283,900;286,000;283,000;284,600;285,001;9333;2659911,2;82;
2013-05-06;282,000;283,700;282,200;284,800;281,500;283,700;282,801;12615;3567530;129;
2013-05-03;283,000;285,000;284,900;285,700;282,000;285,000;283,842;3583;1017006,7;61;
2013-05-02;284,200;284,900;283,000;285,000;279,700;284,900;282,747;11497;3250736,7;94;
2013-04-30;283,300;283,900;284,100;287,300;283,900;283,900;286,413;21366;6119491,2;133;
2013-04-29;284,100;284,300;282,000;285,000;281,900;284,100;283,253;20005;5666465,3;120;
2013-04-26;282,000;282,200;278,400;284,000;278,400;282,000;281,533;33404;9404310,8;228;
2013-04-25;278,400;278,800;271,600;279,400;271,400;278,400;274,501;43485;11936668,2;215;
2013-04-24;271,300;271,600;267,500;271,600;265,300;271,600;268,076;10720;2873778,6;87;
2013-04-23;262,000;263,000;258,900;263,000;257,800;263,000;260,532;4770;1242735,4;49;
2013-04-22;257,200;258,100;255,000;261,800;255,000;258,100;259,200;11955;3098733,1;82;
2013-04-19;254,800;255,100;255,000;259,700;252,900;254,800;256,473;8161;2093073,1;94;
2013-04-18;255,000;256,200;258,000;258,600;254,000;255,000;257,150;12102;3112023,8;92;
2013-04-17;259,700;259,800;268,000;268,000;259,700;259,800;262,560;8426;2212331,1;93;
2013-04-16;266,700;267,700;270,000;270,200;267,000;267,700;268,086;10902;2922677;101;
2013-04-15;268,700;269,000;270,000;270,500;267,000;269,000;268,416;8266;2218728,7;80;
2013-04-12;269,000;269,700;269,700;270,500;269,000;269,000;269,596;5097;1374130,8;55;
2013-04-11;269,500;271,200;270,600;271,200;267,900;271,200;269,264;5938;1598892,3;62;
2013-04-10;269,900;270,500;265,000;270,600;265,000;270,500;268,653;9872;2652139,1;83;
2013-04-09;262,900;263,100;263,000;265,600;262,600;263,100;264,231;12786;3378461,3;83;
2013-04-08;263,000;263,400;265,600;267,500;262,700;263,400;265,238;7483;1984774,7;65;
2013-04-05;265,000;266,300;267,000;268,200;264,000;265,000;266,341;14751;3928793,1;120;
2013-04-04;267,100;268,700;270,000;271,500;267,000;267,100;269,853;8148;2198761,5;86;
2013-04-03;269,300;270,600;271,500;271,500;269,300;270,600;270,779;7904;2140234,8;86;
2013-04-02;270,100;271,700;269,000;271,700;267,700;271,700;269,677;36581;9865057,1;218;
2013-03-28;268,700;269,000;268,900;269,000;265,400;269,000;268,163;13897;3726660,6;85;
2013-03-27;265,700;266,800;267,000;268,200;263,000;266,800;265,055;12922;3425038,2;127;
2013-03-26;266,200;266,600;266,000;270,500;265,000;266,200;267,023;15391;4109747,2;134;
2013-03-25;268,700;270,300;270,300;272,000;268,000;270,300;270,583;10995;2975056,9;100;
2013-03-22;267,200;269,000;266,300;269,000;264,100;267,200;266,471;19503;5196988,2;142;
2013-03-21;265,100;266,300;271,900;271,900;264,300;265,100;267,349;38351;10253093,8;262;
2013-03-20;280,100;281,600;275,000;280,900;275,000;280,100;277,254;34901;9676436,6;195;
2013-03-19;274,000;274,800;276,000;278,000;273,100;274,800;275,486;16151;4449367,3;138;
2013-03-18;274,000;274,300;274,400;275,600;271,700;275,100;274,491;13292;3648539,3;100;
2013-03-15;273,300;274,400;272,700;274,500;272,700;274,400;274,144;15150;4153276,4;93;
2013-03-14;271,800;272,900;270,500;273,000;270,400;272,700;272,026;13405;3646513,1;91;
2013-03-13;268,700;270,500;271,700;271,700;268,000;270,500;269,438;10149;2734529,5;90;
2013-03-12;270,700;271,700;270,800;272,600;270,700;271,700;271,378;9260;2512959,2;96;
2013-03-11;270,900;272,000;270,500;272,000;270,000;272,000;271,343;21166;5743246,2;136;
2013-03-08;270,000;271,600;266,000;271,800;266,000;270,000;269,943;16346;4412480,4;444;
2013-03-07;265,600;266,400;270,000;270,000;265,600;265,600;267,355;18614;4976546,2;169;
2013-03-06;267,000;268,600;273,900;273,900;267,400;268,600;271,118;47847;12972175,8;278;
2013-03-05;274,000;274,500;275,000;278,000;273,000;274,500;276,175;18454;5096537,2;152;
2013-03-04;274,500;275,000;271,500;275,000;269,900;275,000;272,261;13600;3702748,9;111;
2013-03-01;270,900;271,000;270,000;274,200;269,000;271,000;271,797;17535;4765967,8;130;
2013-02-28;270,100;271,000;267,000;271,000;265,400;271,000;268,103;21232;5692369,2;144;
2013-02-27;266,100;267,000;262,200;267,000;261,000;267,000;262,650;13786;3620897,1;117;
2013-02-26;262,100;263,600;263,000;263,800;260,400;262,100;261,756;19895;5207629,9;116;
2013-02-25;264,100;264,400;266,000;268,000;264,000;264,400;265,934;21926;5830867;154;
2013-02-22;265,100;266,100;260,000;266,400;259,600;266,100;263,889;22446;5923242,2;160;
2013-02-21;259,300;260,000;263,000;263,000;258,000;260,000;259,928;15522;4034598,6;121;
2013-02-20;263,100;264,100;262,100;264,000;261,700;264,000;262,925;15555;4089804,7;115;
2013-02-19;262,700;263,000;258,400;263,000;258,000;263,000;259,715;26454;6870493,5;130;
2013-02-18;257,300;258,000;256,000;258,000;255,500;258,000;256,550;9760;2503928;104;
2013-02-15;255,500;256,000;256,000;256,000;254,000;256,000;255,134;9702;2475310,4;67;
2013-02-14;254,900;256,000;255,600;257,300;254,600;256,000;255,613;17644;4510041,9;115;
2013-02-13;255,200;255,600;252,800;255,700;252,000;255,600;254,427;13776;3504981;107;
2013-02-12;252,500;252,700;251,600;253,200;248,300;252,700;251,515;16249;4086861,5;124;
2013-02-11;250,100;252,000;251,000;252,000;249,400;252,000;250,636;14927;3741242,2;138;
2013-02-08;249,900;251,000;247,400;252,000;246,000;251,000;250,011;21384;5346242,6;141;
2013-02-07;244,500;245,100;248,100;248,100;244,200;245,600;246,586;29468;7266393,6;223;
2013-02-06;245,400;247,100;250,500;250,500;242,100;247,100;245,449;57204;14040684,3;416;
2013-02-05;251,700;252,300;250,000;252,300;246,300;252,300;250,471;21947;5497084,7;156;
2013-02-04;249,600;250,000;253,300;254,700;248,400;250,000;251,668;28806;7249555,7;190;
2013-02-01;251,900;252,700;249,800;255,000;249,000;252,700;252,303;27121;6842704,9;189;
2013-01-31;249,100;249,800;250,000;250,000;246,500;249,100;248,807;29341;7300233,7;184;
2013-01-30;248,500;250,000;241,300;250,700;241,300;249,700;247,071;60157;14863075,8;217;
2013-01-29;239,500;240,000;239,000;240,000;238,200;240,000;239,090;20803;4973792,7;113;
2013-01-28;238,000;238,100;241,200;241,200;237,500;238,100;239,056;11838;2829938,9;100;
2013-01-25;237,100;237,400;233,600;237,400;233,600;237,400;236,158;20901;4935941,4;135;
2013-01-24;234,500;234,900;230,500;235,000;230,100;234,900;233,620;9055;2115427,5;53;
2013-01-23;230,600;230,700;232,000;232,700;229,900;230,600;230,995;11984;2768248,9;67;
2013-01-22;232,000;232,900;235,000;235,000;232,000;232,000;233,361;9344;2180527,2;87;
2013-01-21;234,200;234,600;235,000;235,000;233,100;234,700;234,222;4687;1097796,7;51;
2013-01-18;232,400;233,100;233,300;233,400;232,200;233,100;232,856;7759;1806731,8;80;
2013-01-17;231,000;233,300;231,500;233,300;230,100;233,300;231,983;5962;1383081;53;
2013-01-16;230,000;231,500;231,500;231,500;228,800;231,500;230,007;11150;2564581,9;62;
2013-01-15;230,300;231,400;235,500;235,500;230,100;231,400;231,794;21430;4967349,9;154;
2013-01-14;234,500;235,500;234,100;235,900;234,100;235,500;234,964;10552;2479342,8;72;
2013-01-11;233,000;233,800;236,200;236,200;232,100;233,800;233,706;9747;2277929;74;
2013-01-10;231,700;233,000;230,900;233,200;230,800;233,000;232,284;12764;2964874,7;93;
2013-01-09;230,000;230,800;229,900;231,500;229,700;230,800;230,580;11298;2605086,9;77;
2013-01-08;229,500;229,900;230,500;232,000;229,900;229,900;230,830;16983;3920191,2;85;
2013-01-07;230,200;230,600;229,600;231,400;229,600;230,200;230,359;20395;4698163,1;106;
2013-01-04;229,400;230,000;228,800;230,000;226,800;230,000;228,782;21544;4928876;213;
2013-01-03;227,800;229,000;226,800;229,000;225,700;229,000;227,276;13665;3105725,7;104;
2013-01-02;226,200;226,800;222,600;227,600;222,600;226,800;226,125;16940;3830551,3;117;
2012-12-28;220,900;221,700;222,000;223,200;221,400;221,700;222,130;13705;3044294;77;
2012-12-27;222,400;222,500;219,100;223,800;219,100;222,500;222,727;11764;2620160,6;126;
2012-12-21;221,000;222,000;220,000;223,700;218,400;221,000;220,401;53687;11832690,8;210;
2012-12-20;218,400;221,400;221,600;222,500;218,400;218,400;219,768;65500;14394824,8;139;
2012-12-19;221,700;222,000;222,500;223,400;220,700;221,700;221,783;13543;3003603,6;66;
2012-12-18;222,000;222,100;221,000;224,000;221,000;222,000;222,592;13063;2907723,6;81;
2012-12-17;221,900;223,000;225,000;225,000;221,000;221,900;222,417;10896;2423454,8;91;
2012-12-14;223,300;224,000;226,000;226,000;223,300;223,300;223,789;8131;1819631,4;72;
2012-12-13;223,500;224,900;225,000;226,000;223,000;224,900;224,509;10017;2248905,4;100;
2012-12-12;224,300;226,000;227,500;227,500;224,300;224,300;225,670;13379;3019233,9;89;
2012-12-11;225,600;227,000;226,400;227,000;225,000;227,000;226,016;10626;2401645,4;94;
2012-12-10;226,400;227,500;226,500;227,500;225,300;226,400;226,163;14768;3339978,2;130;
2012-12-07;227,500;229,300;227,900;229,300;226,500;229,300;227,509;10944;2489859,5;79;
